,COMPL_RPY_1YR_RT,COMPL_RPY_3YR_RT,COMPL_RPY_5YR_RT,COMPL_RPY_7YR_RT,C100_4,C100_L4,DEBT_MDN_SUPP,GRAD_DEBT_MDN,DEBT_N,GRAD_DEBT_N,LATITUDE,LONGITUDE,REGION,LOCALE,SCH_DEG,MAIN,NUMBRANCH,HIGHDEG,CONTROL,ST_FIPS,AVGFACSAL,PFTFAC,ICLEVEL,UG,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,MEDIAN_HH_INC,UNEMP_RATE,UGDS_MEN,UGDS_WOMEN,cost,earning
5056,0.3226277372,0.3515850144,0.3416898793,0.3846830986,,0.0578,7832,8919,493,404,33.783343,-116.353268,8,21.0,1.0,1,2,1,3,6,,,3,,,,,,,,,52036.93,4.01999998092651,0.1838,0.8162,22541.0,19900
5057,0.3993548387,0.4899117276,0.6118210863,0.6798196167,0.0,,14765,30223,8204,1899,38.941097,-94.703885,4,12.0,2.0,0,31,3,3,20,6739.0,0.2414,1,,,,,,,,,60277.72,3.16000008583068,0.146,0.8540000000000001,,28200
5058,0.1604534005,0.2068879461,0.2288311274,0.2089802131,,0.6667,7432,8826.5,4329,3288,30.329638,-97.65531700000001,6,11.0,1.0,0,8,1,2,48,,,3,,,,,,,,,55313.57,5.19999980926513,0.3467,0.6533,29025.0,17000
5059,,,,,,0.1818,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,31.989869,-111.71544499999999,6,43.0,1.0,1,1,2,1,4,4821.0,0.3529,2,,,,,,,,,26755.23,8.53999996185302,0.3702,0.6298,8010.0,26700
5060,0.2003968254,0.3344077357,0.4183206107,0.4934333959,,0.3623,6000,7460,932,760,32.840012,-96.774825,6,11.0,1.0,0,3,2,2,48,3452.0,,2,,,,,,,,,60656.99,4.3600001335144,0.2083,0.7917,27124.0,17900
5061,,,PrivacySuppressed,PrivacySuppressed,,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,37.199666,-80.406021,5,13.0,2.0,1,1,4,2,51,,,1,,,,,,,,,,,,,,
5062,0.3608247423,0.4136807818,0.4220467033,0.4563843236,,0.4381,7917,8807,2535,1627,42.427603000000005,-71.073631,1,21.0,1.0,0,6,1,3,25,,,3,,,,,,,,,58964.19,3.53999996185302,0.1741,0.8259,21505.0,23100
5063,0.3922651934,0.4432432432,0.4311926606,PrivacySuppressed,,,12384,14410.5,405,194,41.886588,-87.625488,3,11.0,2.0,0,3,4,3,17,4292.0,0.1429,1,,,,,,,,,64347.54,4.11999988555908,0.4318,0.5682,23758.0,23400
5064,0.5156739812,0.5353846154,0.5701754386,0.6442687747,,0.4935,7885,7885,928,650,33.415334,-111.922481,6,12.0,1.0,1,1,2,3,4,2583.0,,2,,,,,,,,,66628.47,2.95000004768371,0.1166,0.8834,26889.0,22500
5065,0.2176801226,0.278506559,0.2381198347,0.2629051621,,0.6703,9500,9500,1527,1099,33.993598,-117.344752,8,11.0,1.0,0,7,2,3,6,4160.0,0.4444,2,,,,,,,,,59339.72,4.90999984741211,0.8077,0.1923,26424.0,20300
5066,0.5584218513,0.6164179104,0.7095890411,0.6956521739,,,12584,21257,2136,745,38.327179,-85.71137,3,21.0,3.0,0,5,4,2,18,,,1,,,,,,,,,65346.8,3.03999996185302,0.2143,0.7857,,36500
5067,0.3246217331,0.3830645161,0.2970521542,0.2905660377,0.48,,9296,9500,768,521,34.683587,-118.13496799999999,8,21.0,1.0,1,1,4,3,6,4715.0,0.1857,1,,,,,,,,,57306.38,6.53000020980835,0.3846,0.6154,20465.0,17000
5068,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,,31666,34940,41,25,45.476809,-122.538471,8,11.0,3.0,1,1,3,2,41,,,1,,,,,,,,,65518.03,3.84999990463256,0.0,1.0,,PrivacySuppressed
5069,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,0.2519,9500,9500,211,182,35.181571000000005,-106.687874,6,11.0,1.0,1,2,2,3,35,3960.0,,2,,,,,,,,,55047.79,3.80999994277954,0.1405,0.8595,22581.0,PrivacySuppressed
5070,,,,,,0.1682,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,39.092904,-84.490096,5,21.0,1.0,1,1,1,2,21,,,3,,,,,,,,,50220.6,3.23000001907348,0.1275,0.8725,19163.0,12700
5071,0.5254237288,0.5217391304,0.5724137931,0.5378151261,,0.7395,9500,9500,197,167,33.844718,-118.265919,8,13.0,1.0,1,1,1,3,6,,,3,,,,,,,,,61101.48,4.96000003814697,0.3083,0.6917,21830.0,22700
5072,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,0.188,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,32.909896999999994,-96.73701700000001,6,11.0,1.0,1,1,1,3,48,,,3,,,,,,,,,58067.01,4.19000005722045,0.8154,0.1846,7091.0,18600
5073,,,,,,,,,,,42.065549,-87.684445,3,13.0,,1,1,4,2,17,,,1,,,,,,,,,,,,,,
